"","MAXENTROPY_LABEL","MAXENTROPY_PROB","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","TREE_LABEL","TREE_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","SLDA_LABEL","SLDA_PROB","MANUAL_CODE","CONSENSUS_CODE","CONSENSUS_AGREE","CONSENSUS_INCORRECT","PROBABILITY_CODE","PROBABILITY_INCORRECT"
"1","2",0.880920132468532,"1",0.72361120909931,"1",0.972197871876097,"1",0.841463414634146,"1",0.982013790037908,"1",0.92,"1",0.929454879572196,1,1,6,0,1,0
"2","2",0.999983678404499,"2",0.573608873650232,"2",0.699923599214678,"2",0.714285714285714,"2",0.982013790037908,"2",0.88,"2",0.999998058820069,2,2,7,0,2,0
"3","1",1,"1",0.999995778065106,"1",0.88469141842514,"2",0.526682134570766,"1",0.880797077977882,"1",0.88,"1",1,1,1,6,0,1,0
"4","1",0.995610601934161,"1",0.710075441555947,"1",0.943858473155543,"1",1,"1",0.997527376843365,"1",0.84,"2",0.707129681534679,1,1,6,0,1,0
"5","1",0.999691916652574,"1",0.641701258184692,"2",0.590336746392856,"2",0.526682134570766,"1",0.5,"1",0.56,"1",0.999999999999828,1,1,5,0,1,0
"6","1",0.999999999994166,"1",0.960029454704766,"1",0.953716363247444,"1",0.841463414634146,"1",0.880797077977882,"1",0.96,"1",1,1,1,7,0,1,0
"7","1",0.999999999997336,"1",0.822711220045727,"1",0.555761277892838,"1",0.88,"1",0.997527376843365,"1",1,"1",0.999999999906948,1,1,7,0,1,0
"8","1",0.999837339084646,"1",0.899032618048433,"1",0.904189884435323,"1",0.841463414634146,"1",0.982013790037908,"1",0.88,"1",0.999927919946011,1,1,7,0,1,0
"9","2",0.999999985965629,"2",0.947286779415173,"2",0.998783668157627,"2",1,"2",0.880797077977882,"2",1,"2",1,2,2,7,0,2,0
"10","2",0.982066279318078,"1",0.803562939290764,"1",0.941448735946193,"2",0.526682134570766,"1",0.880797077977882,"1",0.8,"2",0.999999614647446,1,1,4,0,2,1
"11","1",0.999999986432612,"1",0.793084657127748,"1",0.791525075201504,"1",0.972972972972973,"1",0.982013790037908,"1",0.72,"1",0.816486847426659,1,1,7,0,1,0
"12","1",0.992004114242346,"1",0.649504212195683,"1",0.629498866508761,"1",0.972972972972973,"1",0.880797077977882,"1",0.96,"2",0.712395910537969,1,1,6,0,1,0
"13","1",0.999976219646573,"1",0.714230471203443,"2",0.575056281834164,"1",0.88,"1",0.982013790037908,"1",0.84,"1",0.999999998662423,1,1,6,0,1,0
"14","2",0.999996927506166,"2",0.799233400798067,"2",0.968421972967444,"2",0.526682134570766,"2",0.880797077977882,"2",0.72,"2",0.999999983565396,2,2,7,0,2,0
